text,label
High Court Notice: Case filed against you for consumer complaint. Hearing on 15th April. Details: http://highcourt.gov.pk/case/2026/8821,0
Court Summons: You are required to appear before District Court on 20-Mar-2026 at 10:00 AM. Case No: DC/2026/4521. Failure to appear may result in arrest warrant.,0
GHMC Demolition Notice: Unauthorized construction detected at property #28/A/1023. Demolition scheduled in 30 days. Object at: ghmc.gov.in/objections,0
Legal Notice: You have 7 days to respond to cease and desist letter sent via registered post. Non-compliance will result in court proceedings.,0
Municipal Corporation: Your building violates fire safety norms. Occupancy certificate suspended. Rectify within 15 days or face sealing action.,0
"Income Tax Dept: Unreported crypto gains of Rs.8,75,000 detected for FY 2025-26. File revised return within 15 days or face penalty under Section 271(1)(c). Login: incometax.gov.in",0
"GST Notice: Your monthly return GSTR-3B is overdue by 45 days. Late fee: Rs.10,000. File immediately at gst.gov.in to avoid prosecution.",0
EPFO: Your UAN is not linked with Aadhaar. PF account will be frozen from 31-Mar-2026. Link immediately: epfindia.gov.in,0
RBI Warning: Your bank account shows suspicious transaction pattern. Account temporarily frozen for verification. Visit branch with ID proof within 7 days.,0
"Customs Dept: Package #IN8821234 held at airport. Duty of Rs.15,000 payable. Non-payment within 10 days will result in auction.",0
"Eviction Notice: Rent overdue by 4 months (Rs.80,000). Vacate premises within 15 days or face forceful eviction under Rent Control Act.",0
"Society Notice: Maintenance dues of Rs.45,000 pending since 6 months. Legal action will be initiated. Pay immediately to avoid litigation.",0
Electricity Board: Your connection will be permanently disconnected due to theft of electricity detected by inspection. Show cause within 48 hours.,0
Water Authority: Illegal boring detected at your property. Sealing action on 25-Mar-2026. Appeal: waterboard.gov.in,0
"Mom here. Dad admitted to AIIMS emergency. Surgery needed urgently. Rs.50,000 required immediately. Send to my PhonePe 9876543210. Will return next week.",0
"Beta its Papa. Car accident. In hospital. Need Rs.75,000 for treatment now. My account blocked. Send to this number via UPI: 7788990011",0
"Sister calling from hospital reception. Delivery complications. Need Rs.1,00,000 for emergency C-section. Account details: HDFC 12345678901. Urgent please.",0
Apollo Hospital: Your biopsy results show abnormal cells. Immediate consultation required with Dr. Kumar. Book emergency appointment: apollohospitals.com/emergency,0
Blood Bank Urgent: Patient with rare blood group AB-ve needs immediate transfusion. Life threatening emergency. Contact: +91-9900112233,0
COVID Test Positive: You tested positive for COVID-19. Isolate immediately for 7 days. Download certificate: cowin.gov.in Report contacts urgently.,0
CBSE Exam Alert: Your admit card has discrepancies. Correction window closes today 6 PM. Login immediately: cbse.gov.in/students Exam on 25th March.,0
"University Notice: Your degree certificate on hold due to pending fine of Rs.8,500. Clear dues within 5 days or graduation will be cancelled.",0
"Scholarship Deadline: Your NSP scholarship verification pending. Submit Aadhaar within 48 hours or forfeit Rs.25,000 grant. Portal: scholarships.gov.in",0
"LIC: Your policy #12345678 lapsed due to non-payment of premium Rs.15,000. Grace period ends 31-Mar-2026. Revive immediately or lose coverage.",0
Motor Insurance Expired: Your vehicle RC1234 insurance expired on 20-Mar-2026. Driving is illegal and punishable. Renew immediately or face prosecution.,0
"Health Insurance Claim Rejected: Your claim #CLM8821 for Rs.2,50,000 rejected due to pre-existing disease non-disclosure. Appeal within 30 days with medical records.",0
"आयकर विभाग: आपकी ITR में गड़बड़ी पाई गई है। 15 दिन में revised return file करें वरना Rs.50,000 penalty लगेगी। incometax.gov.in पर login करें।",0
कोर्ट नोटिस: आपके खिलाफ consumer case दर्ज हुआ है। 10 अप्रैल को hearing है। District Court Delhi. गैर-हाजिरी पर warrant जारी होगा।,0
EPFO चेतावनी: आपका UAN Aadhaar से link नहीं है। 31 मार्च तक link न किया तो PF account freeze हो जाएगा।,0
కోర్ట్ నోటీసు: మీ పై consumer complaint case ఫైల్ అయింది। 15 ఏప్రిల్ న hearing. హాజరు కాకపోతే warrant issue అవుతుంది।,0
