text,label
कृपया घर पर रहें। घर पर रहने की धारणा को प्रोत्साहित करना। सभी कर-भुगतान करने वाले नागरिक 305.96 या अधिक आपातकालीन रिफंड के हकदार हैं। smsg.io/fCVbD,1
BankOfAmerica अलर्ट 137943। कृपया http://bit.do/cgjK- का अनुसरण करें और पुनः सक्रिय करें,1
लिरिकैलाडी(21/एफ) आपको अपना दोस्त बनने के लिए आमंत्रित कर रही है। उत्तर हाँ-910 या नहीं-910। उसे देखें: www.SMS.ac/u/hmmross STOP? STOP FRND को 62468 पर भेजें,1
यूआर को सिटी ब्रेक से सम्मानित किया गया और वह हर सप्ताह £200 की ग्रीष्मकालीन खरीदारी जीत सकता है। स्टोर को 88039 पर टेक्स्ट करें। स्किलगेम. TsCs087147403233,1
"ऑरेंज की ओर से नमस्ते. गेम, समाचार और खेल तक 1 महीने की निःशुल्क पहुंच के साथ-साथ 10 निःशुल्क टेक्स्ट और 20 फोटो संदेशों के लिए, हां में उत्तर दें। शर्तें लागू: www.orange.co.uk/ow",1
"नया ऑफर! पावर सेवर (सरकारी लैब से परीक्षित) के साथ 40% तक बिजली बिल बचाएं, रु. 1050/- (मुफ़्त होम डिलीवरी) 3 वर्ष। गारंटी कॉल 9891943823,9891943780",1
आप जीत लिये हैं! एक मूल्यवान वोडाफोन ग्राहक के रूप में हमारे कंप्यूटर ने आपको 150 पाउंड का पुरस्कार जीतने के लिए चुना है। इकट्ठा करना आसान है. बस 09061743386 पर कॉल करें,1
आपको अगले 24 घंटों के भीतर अपना स्वर प्राप्त हो जाएगा। नियम और शर्तों के लिए कृपया चैनल यू टेलीटेक्स्ट पृष्ठ 750 देखें,1
फ़ोनी £350 का पुरस्कार - आज के XXXX पर समाप्त होने वाले वोडा नंबरों को £350 का पुरस्कार प्राप्त करने के लिए चुना गया है। यदि आपके पास कोई मेल है तो कृपया दावा कोड 3100 मानक दरें ऐप उद्धृत करते हुए 08712300220 पर कॉल करें,1
Apple ID: [BUXCX7GBVwWCcOD अंतिम अधिसूचना आपका Apple 1D आज समाप्त होने वाला है। http://verifyapple.uk Apple Inc पर अपनी Apple ID की पुष्टि करके इसे रोकें,1
आज के 7548 पर समाप्त होने वाले वोडा नंबरों को $350 का पुरस्कार प्राप्त करने के लिए चुना गया है। यदि आपके पास कोई मेल है तो कृपया 08712300220 पर कॉल करें और दावा कोड 4041 मानक दरें ऐप बताएं।,1
मल्टीकोर के लिए प्रोग्रामिंग चुनौतियों पर काबू पाएं और विश्वसनीयता बढ़ाने की तकनीक सीखें। माइक्रोसॉफ्ट कम्युनिटी टेकडेज़ में अपराह्न 3.45 बजे इंटेल सत्र में भाग लें,1
"5 निःशुल्क शीर्ष पॉलीफोनिक टोन 087018728737 पर कॉल करें, राष्ट्रीय दर। हर सप्ताह एक टॉपपोली ट्यून प्राप्त करें, बस सबपोली लिखकर 81618 पर भेजें, प्रति पोल £3। अनसब 08718727870।",1
आपके पास एक महत्वपूर्ण ग्राहक सेवा घोषणा है. अभी फ्रीफ़ोन 0800 542 0825 पर कॉल करें!,1
<448712404000 से अग्रेषित>कृपया तुरंत 08712404000 पर कॉल करें क्योंकि एक जरूरी संदेश आपका इंतजार कर रहा है।,1
"नोएडा कमर्शियल वेव सेक्टर-18 सिल्वर @ 11500/- पीएसएफ गोल्ड @ 12500/- पीएसएफ, लॉजिक्स सेक्टर-124 @ 8200/- पीएसएफ बेस्ट डील के लिए कॉल करें 9711131802/3",1
एचएमवी बोनस विशेष 500 पाउंड के वास्तविक एचएमवी वाउचर जीते जाएंगे। बस 4 आसान सवालों के जवाब दीजिए. 86688 पर HMV भेजें अधिक जानकारी:www.100percent-real.com,1
"यूके-मोबाइल-डेट में आपका स्वागत है, यह संदेश निःशुल्क है, जिससे आप 08719839835 पर निःशुल्क कॉल कर सकते हैं। भविष्य के एमजीएस का बिल प्रतिदिन 150पी पर भेजा जाएगा। रद्द करने के लिए 89123 पर ""गो स्टॉप"" भेजें",1
"आपने गारंटीकृत £200 पुरस्कार या यहां तक ​​कि £1000 नकद जीता है, यूआर पुरस्कार का दावा करने के लिए 08000407166 पर निःशुल्क कॉल करें (18+) 88333 PHP पर 2 स्टॉप गेटस्टॉप",1
हमारी डेटिंग सेवा द्वारा आपके किसी परिचित द्वारा आपसे संपर्क किया जा रहा है! यह कौन है यह जानने के लिए लैंड लाइन 09050000928 से कॉल करें। PoBox45W2TG150P,1
3मोबाइल से पूछा गया कि क्या 0870 चैटलाइन में मुफ़्त मिनट शामिल हैं। भारतीय ग्राहक सेवा SED हाँ। L8ER को मेगा बिल मिला। 3 बकवास मत करो. कुछ ही दिनों में जमानत देय। मुझे £250 चाहिए 3 £800 चाहिए,1
यू टेक्स्ट के लिए आरसीटी' टीएचएनक्यू एड्रियन। आरजीडीएस वेटियन,1
"यह दूसरी बार है जब हमने आपसे संपर्क करने का प्रयास किया है। आपने 750 पाउंड का पुरस्कार जीता है। 2 दावा करना आसान है, अभी 08712101359 पर कॉल करें! केवल 10p प्रति मिनट। बीटी-राष्ट्रीय-दर",1
2 नए वीडियोसाउंड+2 लोगो+म्यूजिकन्यूज के लिए अपने क्रेडिट के साथ जैमस्टर वीडियोसाउंड गोल्ड क्लब का आनंद लें! Jamster.co.uk से और अधिक आनंद प्राप्त करें! 16+केवल सहायता? कॉल करें: 09701213186,1
क्या आपने कभी एक आदर्श साथी के साथ अच्छा जीवन जीने के बारे में सोचा है? मोबाइल समुदाय में शामिल होने के लिए बस नाम और उम्र लिखें। (100पी/एसएमएस),1
प्रिय PAYTM ग्राहक आपका Paytm KYC समाप्त हो गया है। तुरंत ग्राहक सेवा नंबर-6200992462 पर संपर्क करें। आपका खाता 24 घंटे के भीतर ब्लॉक हो जाएगा। धन्यवाद पेटीएम टीम।,1
"0A$नेटवर्क कंपनियों को एसएमएस के लिए बिल देने की अनुमति देता है, इसलिए वे अपने ""आपूर्तिकर्ताओं"" के लिए जिम्मेदार हैं, जैसे एक दुकान को वे जो बेचते हैं उस पर गारंटी देनी होती है। बी. जी.",1
पासपोर्ट सहायता/पैन कार्ड/आयकर रिटर्न/वैट रिटर्न/सेवा कर रिटर्न के लिए आपकी चरणबद्ध सेवा संपर्क करें मैसर्स ओएनएस 9650669988 ज्वाला हेरी मार्केट पश्चिम विहा,1
पीएल: बैटल रॉयल! गिलक्रिस्ट बनाम वार्न आज रात 8 बजे। मोबाइल पर आईपीएल के लिए http://ipl.onmix.mobi/?src=504 पर क्लिक करें। MIX अलर्ट रोकने के लिए http://onmix.mobi/alert पर क्लिक करें,1
